cell.line,time.pt,drug,compound,unlabeled,labeled,,sample
MEF with Ras,24,PMA,phenylalanine,2744.57,17617.63,,Ras_PMA_24h_02
MEF with Ras,24,PMA,phenylalanine,2541.89,21410.16,,Ras_PMA_24h_01
MEF with Ras,16,PMA,phenylalanine,1747.77,22228.74,,Ras_PMA_16h_03
MEF with Ras,16,PMA,phenylalanine,1032.71,18092.41,,Ras_PMA_16h_02
MEF with Ras,16,PMA,phenylalanine,1922.12,17280.25,,Ras_PMA_16h_01
MEF with Ras,24,PDBU,phenylalanine,1247.76,16542.13,,Ras_PDBU_24h_03
MEF with Ras,24,PDBU,phenylalanine,1759.71,16716.19,,Ras_PDBU_24h_02
MEF with Ras,24,PDBU,phenylalanine,2174.4,19710.13,,Ras_PDBU_24h_01
MEF with Ras,16,PDBU,phenylalanine,868.81,20141.92,,Ras_PDBU_16h_03
MEF with Ras,16,PDBU,phenylalanine,1287.68,19168.05,,Ras_PDBU_16h_02
MEF with Ras,16,PDBU,phenylalanine,1090.38,15761.58,,Ras_PDBU_16h_01
MEF with Ras,24,No Trx,phenylalanine,1421.63,17860.26,,Ras_NoTrx_24h_04
MEF with Ras,24,No Trx,phenylalanine,1738.49,18960.86,,Ras_NoTrx_24h_03
MEF with Ras,24,No Trx,phenylalanine,2560.38,19582.91,,Ras_NoTrx_24h_02
MEF with Ras,24,No Trx,phenylalanine,3260.25,29640.15,,Ras_NoTrx_24h_01
MEF with Ras,16,No Trx,phenylalanine,663.48,20443.84,,Ras_NoTrx_16h_03
MEF with Ras,16,No Trx,phenylalanine,1451.6,24214.85,,Ras_NoTrx_16h_02
MEF with Ras,16,No Trx,phenylalanine,1453.49,21268.11,,Ras_NoTrx_16h_01
MEF no Ras,24,Torin,phenylalanine,1497.37,19713.23,,NoRas_Torin_24h_04
MEF no Ras,24,Torin,phenylalanine,1760.62,20695.49,,NoRas_Torin_24h_03
MEF no Ras,24,Torin,phenylalanine,1802.91,21702.86,,NoRas_Torin_24h_02
MEF no Ras,24,Torin,phenylalanine,2060.3,22520.85,,NoRas_Torin_24h_01
MEF no Ras,16,Torin,phenylalanine,1247.39,23120.38,,NoRas_Torin_16h_03
MEF no Ras,16,Torin,phenylalanine,1227.84,20070.84,,NoRas_Torin_16h_02
MEF no Ras,16,Torin,phenylalanine,916.5,17386.06,,NoRas_Torin_16h_01
MEF no Ras,24,PMA,phenylalanine,970.71,17989.35,,NoRas_PMA_24h_04
MEF no Ras,24,PMA,phenylalanine,1639.98,18945.13,,NoRas_PMA_24h_03
MEF no Ras,24,PMA,phenylalanine,1490.51,20495.91,,NoRas_PMA_24h_02
MEF no Ras,24,PMA,phenylalanine,1121.8,19960.05,,NoRas_PMA_24h_01
MEF no Ras,16,PMA,phenylalanine,732.6,18363.27,,NoRas_PMA_16h_03
MEF no Ras,16,PMA,phenylalanine,890.43,21676.17,,NoRas_PMA_16h_02
MEF no Ras,16,PMA,phenylalanine,871.91,18966.5,,NoRas_PMA_16h_01
MEF no Ras,24,PDBU,phenylalanine,1345.42,19871.37,,NoRas_PDBU_24h_04
MEF no Ras,24,PDBU,phenylalanine,1868.98,24648.96,,NoRas_PDBU_24h_03
MEF no Ras,24,PDBU,phenylalanine,1446.69,19655.22,,NoRas_PDBU_24h_02
MEF no Ras,24,PDBU,phenylalanine,901.84,20471.95,,NoRas_PDBU_24h_01
MEF no Ras,16,PDBU,phenylalanine,1432.27,21920.95,,NoRas_PDBU_16h_03
MEF no Ras,16,PDBU,phenylalanine,1059.98,19761.59,,NoRas_PDBU_16h_02
MEF no Ras,16,PDBU,phenylalanine,1484.18,21974.96,,NoRas_PDBU_16h_01
MEF no Ras,24,No Trx,phenylalanine,1024.78,15894.5,,NoRas_NoTrx_24h_04
MEF no Ras,24,No Trx,phenylalanine,1512.59,21176.2,,NoRas_NoTrx_24h_03
MEF no Ras,24,No Trx,phenylalanine,1917.74,20041.65,,NoRas_NoTrx_24h_02
MEF no Ras,24,No Trx,phenylalanine,1795.36,19196.87,,NoRas_NoTrx_24h_01
MEF no Ras,16,No Trx,phenylalanine,597.03,16986.1,,NoRas_NoTrx_16h_03
MEF no Ras,16,No Trx,phenylalanine,1109.93,22046.88,,NoRas_NoTrx_16h_02
MEF no Ras,16,No Trx,phenylalanine,936.79,21126.17,,NoRas_NoTrx_16h_01
common,DMEM,DMEM,phenylalanine,51307.54,148.33,,DMEM_04
common,DMEM,DMEM,phenylalanine,43926.64,133.18,,DMEM_03
common,DMEM,DMEM,phenylalanine,51449.61,134,,DMEM_02
common,DMEM,DMEM,phenylalanine,41636.19,155.12,,DMEM_01
common,blank,blank,phenylalanine,4.2,24.36,,Blank_04
common,blank,blank,phenylalanine,90.01,5.19,,Blank_03
common,blank,blank,phenylalanine,12.39,18.69,,Blank_02
common,blank,blank,phenylalanine,9.78,59.74,,Blank_01
common,40% 13C DMEM,40% 13C DMEM,phenylalanine,547.75,21318.96,,40pLabeled_04
common,40% 13C DMEM,40% 13C DMEM,phenylalanine,417.48,22312.16,,40pLabeled_03
common,40% 13C DMEM,40% 13C DMEM,phenylalanine,273.89,24976.68,,40pLabeled_02
common,40% 13C DMEM,40% 13C DMEM,phenylalanine,448.05,18482.21,,40pLabeled_01
MEF with Ras,24,Torin,histidine,7145.02,57672.24,,Ras_Torin_24h_04
MEF with Ras,24,Torin,histidine,7424.56,63008.83,,Ras_Torin_24h_03
MEF with Ras,24,Torin,histidine,10279.49,58892.27,,Ras_Torin_24h_02
MEF with Ras,24,Torin,histidine,7444.5,59048.92,,Ras_Torin_24h_01
MEF with Ras,16,Torin,histidine,6491.35,51757.65,,Ras_Torin_16h_03
MEF with Ras,16,Torin,histidine,5821.58,65694.07,,Ras_Torin_16h_02
MEF with Ras,16,Torin,histidine,5073.71,54271.17,,Ras_Torin_16h_01
MEF with Ras,24,PMA,histidine,6012.49,47030.23,,Ras_PMA_24h_04
MEF with Ras,24,PMA,histidine,8492.53,53183.51,,Ras_PMA_24h_03
MEF with Ras,24,PMA,histidine,7366.7,52077.01,,Ras_PMA_24h_02
MEF with Ras,24,PMA,histidine,6479.59,49740.64,,Ras_PMA_24h_01
MEF with Ras,16,PMA,histidine,6418.01,45732.19,,Ras_PMA_16h_03
MEF with Ras,16,PMA,histidine,7322.85,48692.94,,Ras_PMA_16h_02
MEF with Ras,16,PMA,histidine,4508.15,54845.08,,Ras_PMA_16h_01
