cell.line,time.pt,drug,compound,unlabeled,labeled,,sample
common,40% 13C DMEM,40% 13C DMEM,tryptophan,85460.79,0,,40pLabeled_02
common,40% 13C DMEM,40% 13C DMEM,tryptophan,68630.39,0,,40pLabeled_01
MEF with Ras,24,Torin,arginine,88730.38,0,,Ras_Torin_24h_04
MEF with Ras,24,Torin,arginine,96107.76,0,,Ras_Torin_24h_03
MEF with Ras,24,Torin,arginine,105265.62,0,,Ras_Torin_24h_02
MEF with Ras,24,Torin,arginine,95524.66,0,,Ras_Torin_24h_01
MEF with Ras,16,Torin,arginine,87671.9,0,,Ras_Torin_16h_03
MEF with Ras,16,Torin,arginine,90808.04,0,,Ras_Torin_16h_02
MEF with Ras,16,Torin,arginine,88209.45,0,,Ras_Torin_16h_01
MEF with Ras,24,PMA,arginine,83916.7,0,,Ras_PMA_24h_04
MEF with Ras,24,PMA,arginine,78566.93,0,,Ras_PMA_24h_03
MEF with Ras,24,PMA,arginine,90957.49,0,,Ras_PMA_24h_02
MEF with Ras,24,PMA,arginine,92789.16,0,,Ras_PMA_24h_01
MEF with Ras,16,PMA,arginine,100875.15,0,,Ras_PMA_16h_03
MEF with Ras,16,PMA,arginine,75823.23,0,,Ras_PMA_16h_02
MEF with Ras,16,PMA,arginine,99203.85,0,,Ras_PMA_16h_01
MEF with Ras,24,PDBU,arginine,82250.48,0,,Ras_PDBU_24h_03
MEF with Ras,24,PDBU,arginine,72614.45,0,,Ras_PDBU_24h_02
MEF with Ras,24,PDBU,arginine,92675.18,0,,Ras_PDBU_24h_01
MEF with Ras,16,PDBU,arginine,89192.34,0,,Ras_PDBU_16h_03
MEF with Ras,16,PDBU,arginine,79883.59,0,,Ras_PDBU_16h_02
MEF with Ras,16,PDBU,arginine,76979.3,0,,Ras_PDBU_16h_01
MEF with Ras,24,No Trx,arginine,80383.52,0,,Ras_NoTrx_24h_04
MEF with Ras,24,No Trx,arginine,94671.81,0,,Ras_NoTrx_24h_03
MEF with Ras,24,No Trx,arginine,92885.45,0,,Ras_NoTrx_24h_02
MEF with Ras,24,No Trx,arginine,127882.69,0,,Ras_NoTrx_24h_01
MEF with Ras,16,No Trx,arginine,84792.88,0,,Ras_NoTrx_16h_03
MEF with Ras,16,No Trx,arginine,91436.48,0,,Ras_NoTrx_16h_02
MEF with Ras,16,No Trx,arginine,80122.23,0,,Ras_NoTrx_16h_01
MEF no Ras,24,Torin,arginine,92921.4,0,,NoRas_Torin_24h_04
MEF no Ras,24,Torin,arginine,98104.07,0,,NoRas_Torin_24h_03
MEF no Ras,24,Torin,arginine,101218.54,0,,NoRas_Torin_24h_02
MEF no Ras,24,Torin,arginine,103669.56,0,,NoRas_Torin_24h_01
MEF no Ras,16,Torin,arginine,106970.53,0,,NoRas_Torin_16h_03
MEF no Ras,16,Torin,arginine,93621.28,0,,NoRas_Torin_16h_02
MEF no Ras,16,Torin,arginine,96379.94,0,,NoRas_Torin_16h_01
MEF no Ras,24,PMA,arginine,71474.81,0,,NoRas_PMA_24h_04
MEF no Ras,24,PMA,arginine,85103.42,0,,NoRas_PMA_24h_03
MEF no Ras,24,PMA,arginine,81681.99,0,,NoRas_PMA_24h_02
MEF no Ras,24,PMA,arginine,100094.88,0,,NoRas_PMA_24h_01
MEF no Ras,16,PMA,arginine,89145.88,0,,NoRas_PMA_16h_03
MEF no Ras,16,PMA,arginine,91700.1,0,,NoRas_PMA_16h_02
MEF no Ras,16,PMA,arginine,87551.16,0,,NoRas_PMA_16h_01
MEF no Ras,24,PDBU,arginine,96832.66,0,,NoRas_PDBU_24h_04
MEF no Ras,24,PDBU,arginine,99820.1,0,,NoRas_PDBU_24h_03
MEF no Ras,24,PDBU,arginine,86771.9,0,,NoRas_PDBU_24h_02
MEF no Ras,24,PDBU,arginine,91810.4,0,,NoRas_PDBU_24h_01
MEF no Ras,16,PDBU,arginine,86117.12,0,,NoRas_PDBU_16h_03
MEF no Ras,16,PDBU,arginine,96128.68,0,,NoRas_PDBU_16h_02
MEF no Ras,16,PDBU,arginine,95526.75,0,,NoRas_PDBU_16h_01
MEF no Ras,24,No Trx,arginine,84087.63,0,,NoRas_NoTrx_24h_04
MEF no Ras,24,No Trx,arginine,93017.82,0,,NoRas_NoTrx_24h_03
MEF no Ras,24,No Trx,arginine,90929.23,0,,NoRas_NoTrx_24h_02
MEF no Ras,24,No Trx,arginine,78155.73,0,,NoRas_NoTrx_24h_01
MEF no Ras,16,No Trx,arginine,92985.34,0,,NoRas_NoTrx_16h_03
MEF no Ras,16,No Trx,arginine,92770.88,0,,NoRas_NoTrx_16h_02
MEF no Ras,16,No Trx,arginine,87468.73,0,,NoRas_NoTrx_16h_01
common,DMEM,DMEM,arginine,129008.05,0,,DMEM_04
common,DMEM,DMEM,arginine,134972.12,0,,DMEM_03
common,DMEM,DMEM,arginine,167053.98,0,,DMEM_02
common,DMEM,DMEM,arginine,113575.56,0,,DMEM_01
common,blank,blank,arginine,40.33,0,,Blank_04
common,blank,blank,arginine,6.13,0,,Blank_03
common,blank,blank,arginine,3.35,0,,Blank_02
common,blank,blank,arginine,4.62,0,,Blank_01
common,40% 13C DMEM,40% 13C DMEM,arginine,123357.44,0,,40pLabeled_04
common,40% 13C DMEM,40% 13C DMEM,arginine,114459.8,0,,40pLabeled_03
common,40% 13C DMEM,40% 13C DMEM,arginine,124667.62,0,,40pLabeled_02
common,40% 13C DMEM,40% 13C DMEM,arginine,93713.77,0,,40pLabeled_01
MEF with Ras,24,Torin,methionine,179163.06,0,,Ras_Torin_24h_04
MEF with Ras,24,Torin,methionine,180413.12,0,,Ras_Torin_24h_03
MEF with Ras,24,Torin,methionine,188221.5,0,,Ras_Torin_24h_02
MEF with Ras,24,Torin,methionine,190751.19,0,,Ras_Torin_24h_01
MEF with Ras,16,Torin,methionine,169047.05,0,,Ras_Torin_16h_03
MEF with Ras,16,Torin,methionine,162111.81,0,,Ras_Torin_16h_02
MEF with Ras,16,Torin,methionine,155913.98,0,,Ras_Torin_16h_01
MEF with Ras,24,PMA,methionine,157506.25,0,,Ras_PMA_24h_04
MEF with Ras,24,PMA,methionine,166649.45,0,,Ras_PMA_24h_03
MEF with Ras,24,PMA,methionine,156535.73,0,,Ras_PMA_24h_02
MEF with Ras,24,PMA,methionine,193797.77,0,,Ras_PMA_24h_01
MEF with Ras,16,PMA,methionine,175302.5,0,,Ras_PMA_16h_03
MEF with Ras,16,PMA,methionine,171303.42,0,,Ras_PMA_16h_02
MEF with Ras,16,PMA,methionine,164645.39,0,,Ras_PMA_16h_01
MEF with Ras,24,PDBU,methionine,161233.12,0,,Ras_PDBU_24h_03
MEF with Ras,24,PDBU,methionine,155068.64,0,,Ras_PDBU_24h_02
MEF with Ras,24,PDBU,methionine,155391.22,0,,Ras_PDBU_24h_01
MEF with Ras,16,PDBU,methionine,162798.17,0,,Ras_PDBU_16h_03
MEF with Ras,16,PDBU,methionine,156743.95,0,,Ras_PDBU_16h_02
MEF with Ras,16,PDBU,methionine,144793.92,0,,Ras_PDBU_16h_01
MEF with Ras,24,No Trx,methionine,158394.39,0,,Ras_NoTrx_24h_04
MEF with Ras,24,No Trx,methionine,183882.89,0,,Ras_NoTrx_24h_03
MEF with Ras,24,No Trx,methionine,169797.11,0,,Ras_NoTrx_24h_02
MEF with Ras,24,No Trx,methionine,245070.45,0,,Ras_NoTrx_24h_01
MEF with Ras,16,No Trx,methionine,158973.59,0,,Ras_NoTrx_16h_03
MEF with Ras,16,No Trx,methionine,171837.89,0,,Ras_NoTrx_16h_02
MEF with Ras,16,No Trx,methionine,188467.7,0,,Ras_NoTrx_16h_01
MEF no Ras,24,Torin,methionine,163043.88,0,,NoRas_Torin_24h_04
MEF no Ras,24,Torin,methionine,210187.39,0,,NoRas_Torin_24h_03
MEF no Ras,24,Torin,methionine,182218.2,0,,NoRas_Torin_24h_02
MEF no Ras,24,Torin,methionine,160092.86,0,,NoRas_Torin_24h_01
MEF no Ras,16,Torin,methionine,191584.69,0,,NoRas_Torin_16h_03
MEF no Ras,16,Torin,methionine,168334.81,0,,NoRas_Torin_16h_02
MEF no Ras,16,Torin,methionine,185238.88,0,,NoRas_Torin_16h_01
MEF no Ras,24,PMA,methionine,149393.83,0,,NoRas_PMA_24h_04
MEF no Ras,24,PMA,methionine,142069.48,0,,NoRas_PMA_24h_03
MEF no Ras,24,PMA,methionine,199814.05,0,,NoRas_PMA_24h_02
MEF no Ras,24,PMA,methionine,182223,0,,NoRas_PMA_24h_01
MEF no Ras,16,PMA,methionine,160280.64,0,,NoRas_PMA_16h_03
MEF no Ras,16,PMA,methionine,184708.08,0,,NoRas_PMA_16h_02
MEF no Ras,16,PMA,methionine,169372.62,0,,NoRas_PMA_16h_01
MEF no Ras,24,PDBU,methionine,154636.5,0,,NoRas_PDBU_24h_04
MEF no Ras,24,PDBU,methionine,173994.55,0,,NoRas_PDBU_24h_03
MEF no Ras,24,PDBU,methionine,172254.89,0,,NoRas_PDBU_24h_02
MEF no Ras,24,PDBU,methionine,204220.36,0,,NoRas_PDBU_24h_01
MEF no Ras,16,PDBU,methionine,189951.42,0,,NoRas_PDBU_16h_03
MEF no Ras,16,PDBU,methionine,167877.92,0,,NoRas_PDBU_16h_02
MEF no Ras,16,PDBU,methionine,209864.7,0,,NoRas_PDBU_16h_01
MEF no Ras,24,No Trx,methionine,135421.98,0,,NoRas_NoTrx_24h_04
MEF no Ras,24,No Trx,methionine,179286.2,0,,NoRas_NoTrx_24h_03
MEF no Ras,24,No Trx,methionine,205758.08,0,,NoRas_NoTrx_24h_02
MEF no Ras,24,No Trx,methionine,146037.05,0,,NoRas_NoTrx_24h_01
MEF no Ras,16,No Trx,methionine,182919.08,0,,NoRas_NoTrx_16h_03
MEF no Ras,16,No Trx,methionine,197155.39,0,,NoRas_NoTrx_16h_02
MEF no Ras,16,No Trx,methionine,205226.7,0,,NoRas_NoTrx_16h_01
common,DMEM,DMEM,methionine,186871.67,0,,DMEM_04
common,DMEM,DMEM,methionine,184966.31,0,,DMEM_03
common,DMEM,DMEM,methionine,220710.64,0,,DMEM_02
common,DMEM,DMEM,methionine,178609.55,0,,DMEM_01
common,blank,blank,methionine,26.76,0,,Blank_04
common,blank,blank,methionine,26.47,0,,Blank_03
common,blank,blank,methionine,14.58,0,,Blank_02
common,blank,blank,methionine,10.78,0,,Blank_01
common,40% 13C DMEM,40% 13C DMEM,methionine,161435.3,0,,40pLabeled_04
common,40% 13C DMEM,40% 13C DMEM,methionine,170493.27,0,,40pLabeled_03
common,40% 13C DMEM,40% 13C DMEM,methionine,198246.2,0,,40pLabeled_02
common,40% 13C DMEM,40% 13C DMEM,methionine,187381.36,0,,40pLabeled_01
